# Riemann Zeta Zeros - Asymptotic Analysis
# Formula: t_{n+1} = t_n + 2π/ln(t_n/2π)
# Reference: Odlyzko database

Total_points: 500
Reference_points: 500
Mean_Absolute_Error: 1.30436732
Correlation: 0.99999838

     n       t_n_computed        t_n_odlyzko        error      delta_t
    82     205.5703320244     204.1896718030     1.380660     1.805987
    83     207.3717498427     205.3946972020     1.977053     1.801418
    84     209.1686727397     207.9062588880     1.262414     1.796923
    85     210.9611726696     209.5765097170     1.384663     1.792500
    86     212.7493195790     211.6908625950     1.058457     1.788147
    87     214.5331814856     213.3479193600     1.185262     1.783862
    88     216.3128245535     214.5470447830     1.765780     1.779643
    89     218.0883131648     216.1695385080     1.918775     1.775489
    90     219.8597099871     219.0675963490     0.792114     1.771397
    91     221.6270760381     220.7149188390     0.912157     1.767366
    92     223.3904707470     221.4307055550     1.959765     1.763395
    93     225.1499520133     224.0070002550     1.142952     1.759481
    94     226.9055762619     224.9833246700     1.922252     1.755624
    95     228.6573984966     227.4214442800     1.235954     1.751822
    96     230.4054723505     229.3374133060     1.068059     1.748074
    97     232.1498501347     231.2501887000     0.899661     1.744378
    98     233.8905828840     231.9872352530     1.903348     1.740733
    99     235.6277204010     233.6934041790     1.934316     1.737138
   100     237.3613112985     236.5242296660     0.837082     1.733591
   101     239.0914030395     237.7698204810     1.321583     1.730092
   102     240.8180419756     239.5554775730     1.262564     1.726639
   103     242.5412733843     241.0491577960     1.492116     1.723231
   104     244.2611415037     242.8232719340     1.437870     1.719868
   105     245.9776895666     244.0708984970     1.906791     1.716548
   106     247.6909598329     247.1369900750     0.553970     1.713270
   107     249.4009936203     248.1019900600     1.299004     1.710034
   108     251.1078313346     249.5736896450     1.534142     1.706838
   109     252.8115124975     251.0149477950     1.796565     1.703681
   110     254.5120757747     253.0699867480     1.442089     1.700563
   111     256.2095590018     255.3062564550     0.903303     1.697483
   112     257.9039992096     256.3807136940     1.523286     1.694440
   113     259.5954326485     258.6104394920     0.984993     1.691433
   114     261.2838948116     259.8744069900     1.409488     1.688462
   115     262.9694204576     260.8050845050     2.164336     1.685526
   116     264.6520436315     263.5738939050     1.078150     1.682623
   117     266.3317976864     265.5578518390     0.773946     1.679754
   118     268.0087153026     266.6149737820     1.393742     1.676918
   119     269.6828285074     267.9219150830     1.760913     1.674113
   120     271.3541686933     269.9704490240     1.383720     1.671340
   121     273.0227666361     271.4940556420     1.528711     1.668598
   122     274.6886525118     273.4596091880     1.229043     1.665886
   123     276.3518559135     275.5874926490     0.764363     1.663203
   124     278.0124058671     276.4520495030     1.560356     1.660550
   125     279.6703308470     278.2507435300     1.419587     1.657925
   126     281.3256587906     279.2292509280     2.096408     1.655328
   127     282.9784171133     282.4651147650     0.513302     1.652758
   128     284.6286327215     283.2111857330     1.417447     1.650216
   129     286.2763320269     284.8359639810     1.440368     1.647699
   130     287.9215409588     286.6674453630     1.254096     1.645209
   131     289.5642849769     287.9119205010     1.652364     1.642744
   132     291.2045890831     289.5798549290     1.624734     1.640304
   133     292.8424778336     291.8462913290     0.996187     1.637889
   134     294.4779753500     293.5584341390     0.919541     1.635498
   135     296.1111053300     294.9653696190     1.145736     1.633130
   136     297.7418910584     295.5732548790     2.168636     1.630786
   137     299.3703554169     297.9792770620     1.391078     1.628464
   138     300.9965208946     299.8403260540     1.156195     1.626165
   139     302.6204095968     301.6493254620     0.971084     1.623889
   140     304.2420432550     302.6967495900     1.545294     1.621634
   141     305.8614432353     304.8643713410     0.997072     1.619400
   142     307.4786305478     305.7289126020     1.749718     1.617187
   143     309.0936258545     307.2194961280     1.874130     1.614995
   144     310.7064494776     310.1094631470     0.596986     1.612824
   145     312.3171214076     311.1651415300     1.151980     1.610672
   146     313.9256613110     312.4278011810     1.497860     1.608540
   147     315.5320885374     313.9852857310     1.546803     1.606427
   148     317.1364221274     315.4756160890     1.660806     1.604334
   149     318.7386808190     317.7348059420     1.003875     1.602259
   150     320.3388830548     318.8531042560     1.485779     1.600202
   151     321.9370469886     321.1601343090     0.776913     1.598164
   152     323.5331904917     322.1445586720     1.388632     1.596144
   153     325.1273311593     323.4669695580     1.660362     1.594141
   154     326.7194863162     324.8628660520     1.856620     1.592155
   155     328.3096730234     327.4439012620     0.865772     1.590187
   156     329.8979080831     329.0330716800     0.864836     1.588235
   157     331.4842080449     329.9532397280     1.530968     1.586300
   158     333.0685892106     331.4744675830     1.594122     1.584381
   159     334.6510676400     333.6453785250     1.005689     1.582478
   160     336.2316591558     334.2113548330     2.020304     1.580592
   161     337.8103793486     336.8418504280     0.968529     1.578720
   162     339.3872435814     338.3399928510     1.047251     1.576864
   163     340.9622669953     339.8582167250     1.104050     1.575023
   164     342.5354645128     341.0422611110     1.493203     1.573198
   165     344.1068508433     342.0548775100     2.051973     1.571386
   166     345.6764404870     344.6617029400     1.014738     1.569590
   167     347.2442477391     346.3478705660     0.896377     1.567807
   168     348.8102866941     347.2726775840     1.537609     1.566039
   169     350.3745712496     349.3162608710     1.058310     1.564285
   170     351.9371151106     350.4084193490     1.528696     1.562544
   171     353.4979317929     351.8786490250     1.619283     1.560817
   172     355.0570346270     353.4889004890     1.568134     1.559103
   173     356.6144367616     356.0175749770     0.596862     1.557402
   174     358.1701511673     357.1513022520     1.018849     1.555714
   175     359.7241906402     357.9526851020     1.771506     1.554039
   176     361.2765678046     359.7437549530     1.532813     1.552377
   177     362.8272951169     361.2893616960     1.537933     1.550727
   178     364.3763848686     363.3313305790     1.045054     1.549090
   179     365.9238491894     364.7360241140     1.187825     1.547464
   180     367.4697000501     366.2127102880     1.256990     1.545851
   181     369.0139492658     367.9935754820     1.020374     1.544249
   182     370.5566084987     368.9684380960     1.588170     1.542659
   183     372.0976892609     370.0509192120     2.046770     1.541081
   184     373.6372029169     373.0619283720     0.575275     1.539514
   185     375.1751606869     373.8648739110     1.310287     1.537958
   186     376.7115736489     375.8259127670     0.885661     1.536413
   187     378.2464527414     376.3240922310     1.922361     1.534879
   188     379.7798087660     378.4366802500     1.343129     1.533356
   189     381.3116523898     379.8729753470     1.438677     1.531844
   190     382.8419941477     381.4844686170     1.357526     1.530342
   191     384.3708444448     383.4435294500     0.927315     1.528850
   192     385.8982135587     384.9561168150     0.942097     1.527369
   193     387.4241116418     385.8613008460     1.562811     1.525898
   194     388.9485487232     387.2228902220     1.725659     1.524437
   195     390.4715347112     388.8461283540     1.625406     1.522986
   196     391.9930793952     391.4560835640     0.536996     1.521545
   197     393.5131924476     392.2450833400     1.268109     1.520113
   198     395.0318834259     393.4277438440     1.604140     1.518691
   199     396.5491617749     395.5828700110     0.966292     1.517278
   200     398.0650368281     396.3818542230     1.683183     1.515875
   201     399.5795178101     397.9187362100     1.660782     1.514481
   202     401.0926138381     399.9851198760     1.107494     1.513096
   203     402.6043339234     401.8392286010     0.765105     1.511720
   204     404.1146869740     402.8619177640     1.252769     1.510353
   205     405.6236817955     404.2364418000     1.387240     1.508995
   206     407.1313270930     405.1343874600     1.996940     1.507645
   207     408.6376314730     407.5814603870     1.056171     1.506304
   208     410.1426034447     408.9472455020     1.195358     1.504972
   209     411.6462514216     410.5138691930     1.132382     1.503648
   210     413.1485837233     411.9722678040     1.176316     1.502332
   211     414.6496085765     413.2627360700     1.386873     1.501025
   212     416.1493341170     415.0188097550     1.130524     1.499726
   213     417.6477683909     415.4552149960     2.192553     1.498434
   214     419.1449193559     418.3877057900     0.757214     1.497151
   215     420.6407948828     419.8613648180     0.779430     1.495876
   216     422.1354027571     420.6438276250     1.491575     1.494608
   217     423.6287506797     422.0767100590     1.552041     1.493348
   218     425.1208462690     423.7165796270     1.404267     1.492096
   219     426.6116970615     425.0698824940     1.541815     1.490851
   220     428.1013105133     427.2088250840     0.892485     1.489613
   221     429.5896940016     428.1279140770     1.461780     1.488383
   222     431.0768548252     430.3287454310     0.748109     1.487161
   223     432.5628002065     431.3013069310     1.261493     1.485945
   224     434.0475372921     432.1386417350     1.908896     1.484737
   225     435.5310731542     433.8892184810     1.641855     1.483536
   226     437.0134147914     436.1610064330     0.852408     1.482342
   227     438.4945691301     437.5816981680     0.912871     1.481154
   228     439.9745430256     438.6217386560     1.352804     1.479974
   229     441.4533432628     439.9184422140     1.534901     1.478800
   230     442.9309765576     441.6831992010     1.247777     1.477633
   231     444.4074495575     442.9045463030     1.502903     1.476473
   232     445.8827688432     444.3193362780     1.563433     1.475319
   233     447.3569409288     446.8606226960     0.496318     1.474172
   234     448.8299722635     447.4417041940     1.388268     1.473031
   235     450.3018692319     449.1485456850     1.153324     1.471897
   236     451.7726381553     450.1269457800     1.645692     1.470769
   237     453.2422852926     451.4033084450     1.838977     1.469647
   238     454.7108168410     453.9867378070     0.724079     1.468532
   239     456.1782389369     454.9746837690     1.203555     1.467422
   240     457.6445576569     456.3284266890     1.316131     1.466319
   241     459.1097790185     457.9038930640     1.205886     1.465221
   242     460.5739089808     459.5134152810     1.060494     1.464130
   243     462.0369534457     460.0879444220     1.949009     1.463044
   244     463.4989182583     462.0653672750     1.433551     1.461965
   245     464.9598092080     464.0572869110     0.902522     1.460891
   246     466.4196320289     465.6715392110     0.748093     1.459823
   247     467.8783924007     466.5702869310     1.308105     1.458760
   248     469.3360959498     467.4390462100     1.897050     1.457704
   249     470.7927482493     469.5360045590     1.256744     1.456652
   250     472.2483548205     470.7736554780     1.474699     1.455607
   251     473.7029211329     472.7991746620     0.903746     1.454566
   252     475.1564526053     473.8352323450     1.321220     1.453531
   253     476.6089546064     475.6003393690     1.008615     1.452502
   254     478.0604324555     476.7690152370     1.291417     1.451478
   255     479.5108914229     478.0752637670     1.435628     1.450459
   256     480.9603367310     478.9421815350     2.018155     1.449445
   257     482.4087735543     481.8303393760     0.578434     1.448437
   258     483.8562070207     482.8347827910     1.021424     1.447433
   259     485.3026422115     483.8514272120     1.451215     1.446435
   260     486.7480841627     485.5391481290     1.208936     1.445442
   261     488.1925378646     486.5287182620     1.663820     1.444454
   262     489.6360082634     488.3805670900     1.255441     1.443470
   263     491.0785002612     489.6617615780     1.416739     1.442492
   264     492.5200187166     491.3988215940     1.121197     1.441518
   265     493.9605684454     493.3144415820     0.646127     1.440550
   266     495.4001542209     493.9579978050     1.442156     1.439586
   267     496.8387807749     495.3588288220     1.479952     1.438627
   268     498.2764527977     496.4296962160     1.846757     1.437672
   269     499.7131749389     498.5807824300     1.132393     1.436722
   270     501.1489518077     500.3090849420     0.839867     1.435777
   271     502.5837879739     501.6044469650     0.979341     1.434836
   272     504.0176879677     502.2762703270     1.741418     1.433900
   273     505.4506562807     504.4997733130     0.950883     1.432968
   274     506.8826973660     505.4152317420     1.467466     1.432041
   275     508.3138156390     506.4641527100     1.849663     1.431118
   276     509.7440154778     508.8007003360     0.943315     1.430200
   277     511.1733012234     510.2642279440     0.909073     1.429286
   278     512.6016771804     511.5622897000     1.039387     1.428376
   279     514.0291476173     512.6231445310     1.406003     1.427470
   280     515.4557167671     513.6689855550     1.786731     1.426569
   281     516.8813888274     515.4350571670     1.446332     1.425672
   282     518.3061679613     517.5896685720     0.716499     1.424779
   283     519.7300582974     518.2342231480     1.495835     1.423890
   284     521.1530639302     520.1063104120     1.046754     1.423006
   285     522.5751889210     521.5251934490     1.049995     1.422125
   286     523.9964372976     522.4566961780     1.539741     1.421248
   287     525.4168130552     523.9605308920     1.456282     1.420376
   288     526.8363201567     525.0773856870     1.758934     1.419507
   289     528.2549625327     527.9036416010     0.351321     1.418642
   290     529.6727440824     528.4062138520     1.266530     1.417782
   291     531.0896686736     529.8062263190     1.283442     1.416925
   292     532.5057401433     530.8669178840     1.638822     1.416071
   293     533.9209622978     532.6881830280     1.232779     1.415222
   294     535.3353389132     533.7796307540     1.555708     1.414377
   295     536.7488737359     535.6643140760     1.084560     1.413535
   296     538.1615704824     537.0697590830     1.091811     1.412697
   297     539.5734328404     538.4285261760     1.144907     1.411862
   298     540.9844644684     540.2131663760     0.771298     1.411032
   299     542.3946689967     540.6313902470     1.763279     1.410205
   300     543.8040500269     541.8474371210     1.956613     1.409381
   301     545.2126111331     544.3238901010     0.888721     1.408561
   302     546.6203558616     545.6368332490     0.983523     1.407745
   303     548.0272877314     547.0109120580     1.016376     1.406932
   304     549.4334102345     547.9316133640     1.501797     1.406123
   305     550.8387268363     549.4975675630     1.341159     1.405317
   306     552.2432409757     550.9700100390     1.273231     1.404514
   307     553.6469560653     552.0495722010     1.597384     1.403715
   308     555.0498754923     553.7649721190     1.284903     1.402919
   309     556.4520026178     555.7920205620     0.659982     1.402127
   310     557.8533407781     556.8994764070     0.953864     1.401338
   311     559.2538932842     557.5646591720     1.689234     1.400553
   312     560.6536634225     559.3162370290     1.337426     1.399770
   313     562.0526544547     560.2408074970     1.811847     1.398991
   314     563.4508696185     562.5592076160     0.891662     1.398215
   315     564.8483121276     564.1608791110     0.687433     1.397443
   316     566.2449851720     564.5060559380     1.738929     1.396673
   317     567.6408919182     566.6987876830     0.942104     1.395907
   318     569.0360355094     567.7317579010     1.304278     1.395144
   319     570.4304190659     568.9239551800     1.506464     1.394384
   320     571.8240456855     570.0511147820     1.772931     1.393627
   321     573.2169184432     572.4199841320     0.796934     1.392873
   322     574.6090403919     573.6146105270     0.994430     1.392122
   323     576.0004145623     575.0938860140     0.906529     1.391374
   324     577.3910439636     575.8072471410     1.583797     1.390629
   325     578.7809315833     577.0390034720     1.741928     1.389888
   326     580.1700803873     579.0988346720     1.071246     1.389149
   327     581.5584933208     580.1369593620     1.421534     1.388413
   328     582.9461733077     581.9465762660     0.999597     1.387680
   329     584.3331232515     583.2360882190     1.097035     1.386950
   330     585.7193460350     584.5617059030     1.157640     1.386223
   331     587.1048445207     585.9845632050     1.120281     1.385498
   332     588.4896215513     586.7427718910     1.746850     1.384777
   333     589.8736799492     588.1396632660     1.734017     1.384058
   334     591.2570225175     590.6603975170     0.596625     1.383343
   335     592.6396520396     591.7258580650     0.913794     1.382630
   336     594.0215712797     592.5713583000     1.450213     1.381919
   337     595.4027829827     593.9747146820     1.428068     1.381212
   338     596.7832898749     595.7281536970     1.055136     1.380507
   339     598.1630946637     596.3627683280     1.800326     1.379805
   340     599.5422000380     598.4930773460     1.049123     1.379105
   341     600.9206086683     599.5456403640     1.374968     1.378409
   342     602.2983232069     601.6021367360     0.696186     1.377715
   343     603.6753462883     602.5791678860     1.096178     1.377023
   344     605.0516805288     603.6256189040     1.426062     1.376334
   345     606.4273285275     604.6162184940     1.811110     1.375648
   346     607.8022928657     606.3834604220     1.418832     1.374964
   347     609.1765761074     608.4132173110     0.763359     1.374283
   348     610.5501807996     609.3895751550     1.160606     1.373605
   349     611.9231094722     610.8391629380     1.083947     1.372929
   350     613.2953646384     611.7742096210     1.521155     1.372255
   351     614.6669487947     613.5997786760     1.067170     1.371584
   352     616.0378644208     614.6462378720     1.391627     1.370916
   353     617.4081139806     615.5385633690     1.869551     1.370250
   354     618.7776999214     618.1128313660     0.664869     1.369586
   355     620.1466246746     619.1844825980     0.962142     1.368925
   356     621.5148906557     620.2728936720     1.241997     1.368266
   357     622.8825002644     621.7092945280     1.173206     1.367610
   358     624.2494558849     622.3750027400     1.874453     1.366956
   359     625.6157598859     624.2699000180     1.345860     1.366304
   360     626.9814146209     626.0192834280     0.962131     1.365655
   361     628.3464224280     627.2683968510     1.078026     1.365008
   362     629.7107856305     628.3258623590     1.384923     1.364363
   363     631.0745065367     630.4738874380     0.600619     1.363721
   364     632.4375874403     630.8057809270     1.631807     1.363081
   365     633.8000306201     632.2251411670     1.574889     1.362443
   366     635.1618383408     633.5468582520     1.614980     1.361808
   367     636.5230128524     635.5238003110     0.999213     1.361175
   368     637.8835563909     637.3971931600     0.486363     1.360544
   369     639.2434711781     637.9255139810     1.317957     1.359915
   370     640.6027594219     638.9279382670     1.674821     1.359288
   371     641.9614233164     640.6947946690     1.266629     1.358664
   372     643.3194650419     641.9454996660     1.373965     1.358042
   373     644.6768867651     643.2788837810     1.398003     1.357422
   374     646.0336906394     644.9905782300     1.043112     1.356804
   375     647.3898788047     646.3481915960     1.041687     1.356188
   376     648.7454533876     647.7617530040     0.983700     1.355575
   377     650.1004165019     648.7864008890     1.314016     1.354963
   378     651.4547702480     650.1975193450     1.257251     1.354354
   379     652.8085167137     650.6686838910     2.139833     1.353746
   380     654.1616579740     653.6495716050     0.512086     1.353141
   381     655.5141960911     654.3019205860     1.212276     1.352538
   382     656.8661331149     655.7094630220     1.156670     1.351937
   383     658.2174710826     656.9640845990     1.253386     1.351338
   384     659.5682120192     658.1756144190     1.392598     1.350741
   385     660.9183579375     659.6638459730     1.254512     1.350146
   386     662.2679108382     660.7167325950     1.551178     1.349553
   387     663.6168727099     662.2965864310     1.320286     1.348962
   388     664.9652455293     664.2446046520     0.720641     1.348373
   389     666.3130312613     665.3427630960     0.970268     1.347786
   390     667.6602318593     666.5151477040     1.145084     1.347201
   391     669.0068492648     667.1484948950     1.858354     1.346617
   392     670.3528854080     668.9758488200     1.377037     1.346036
   393     671.6983422075     670.3235852060     1.374757     1.345457
   394     673.0432215708     672.4581835840     0.585038     1.344879
   395     674.3875253941     673.0435782860     1.343947     1.344304
   396     675.7312555624     674.3558978100     1.375358     1.343730
   397     677.0744139498     676.1396743640     0.934740     1.343158
   398     678.4170024194     677.2301806690     1.186822     1.342588
   399     679.7590228234     677.8004447460     1.958578     1.342020
   400     681.1004770035     679.7421978830     1.358279     1.341454
   401     682.4413667903     681.8949915330     0.546375     1.340890
   402     683.7816940043     682.6027350200     1.178959     1.340327
   403     685.1214604552     684.0135498140     1.107911     1.339766
   404     686.4606679424     684.9726298620     1.488038     1.339207
   405     687.7993182549     686.1632235880     1.636095     1.338650
   406     689.1374131717     687.9615431850     1.175870     1.338095
   407     690.4749544614     689.3689413620     1.106013     1.337541
   408     691.8119438827     690.4747350320     1.337209     1.336989
   409     693.1483831842     692.4516844160     0.696699     1.336439
   410     694.4842741047     693.1769700610     1.307304     1.335891
   411     695.8196183731     694.5339087000     1.285710     1.335344
   412     697.1544177087     695.7263359210     1.428082     1.334799
   413     698.4886738210     696.6260699000     1.862604     1.334256
   414     699.8223884099     699.1320954760     0.690293     1.333715
   415     701.1555631659     700.2967391320     0.858824     1.333175
   416     702.4881997700     701.3017429550     1.186457     1.332637
   417     703.8202998939     702.2273431460     1.592957     1.332100
   418     705.1518652000     704.0338392960     1.118026     1.331565
   419     706.4828973415     705.1258139550     1.357083     1.331032
   420     707.8133979624     706.1846548000     1.628743     1.330501
   421     709.1433686978     708.2690708850     0.874298     1.329971
   422     710.4728111735     709.2295885700     1.243223     1.329442
   423     711.8017270068     711.1302741800     0.671453     1.328916
   424     713.1301178058     711.9002899140     1.229828     1.328391
   425     714.4579851701     712.7493834700     1.708602     1.327867
   426     715.7853306903     714.0827718210     1.702559     1.327346
   427     717.1121559486     716.1123964540     0.999759     1.326825
   428     718.4384625186     717.4825697030     0.955893     1.326307
   429     719.7642519652     718.7427865450     1.021465     1.325789
   430     721.0895258450     719.6971009880     1.392425     1.325274
   431     722.4142857063     721.3511622190     1.063123     1.324760
   432     723.7385330890     722.2775049760     1.461028     1.324247
   433     725.0622695248     723.8458210450     1.216448     1.323736
   434     726.3854965370     724.5626138900     1.822883     1.323227
   435     727.7082156411     727.0564032300     0.651812     1.322719
   436     729.0304283443     728.4054815890     0.624947     1.322213
   437     730.3521361459     728.7587497960     1.593386     1.321708
   438     731.6733405374     730.4164821230     1.256858     1.321204
   439     732.9940430022     731.4173549190     1.576688     1.320702
   440     734.3142450159     732.8180527140     1.496192     1.320202
   441     735.6339480465     734.7896432520     0.844305     1.319703
   442     736.9531535541     735.7654592090     1.187694     1.319206
   443     738.2718629914     737.0529289120     1.218934     1.318709
   444     739.5900778033     738.5804211710     1.009657     1.318215
   445     740.9077994273     739.9095236740     0.998276     1.317722
   446     742.2250292934     740.5738074470     1.651222     1.317230
   447     743.5417688241     741.7573355730     1.784433     1.316740
   448     744.8580194347     743.8950131420     0.963006     1.316251
   449     746.1737825330     745.3449895510     0.828793     1.315763
   450     747.4890595198     746.4993058990     0.989754     1.315277
   451     748.8038517885     747.6745636240     1.129288     1.314792
   452     750.1181607254     748.2427544650     1.875406     1.314309
   453     751.4319877097     750.6559503620     0.776037     1.313827
   454     752.7453341136     750.9663810670     1.778953     1.313346
   455     754.0582013023     752.8876215670     1.170580     1.312867
   456     755.3705906341     754.3223704720     1.048220     1.312389
   457     756.6825034604     755.8393089760     0.843194     1.311913
   458     757.9939411256     756.7682484400     1.225693     1.311438
   459     759.3049049676     758.1017292460     1.203176     1.310964
   460     760.6153963173     758.9002382250     1.715158     1.310491
   461     761.9254164991     760.2823669840     1.643050     1.310020
   462     763.2349668306     762.7000332500     0.534934     1.309550
   463     764.5440486230     763.5930661730     0.950982     1.309082
   464     765.8526631808     764.3075227240     1.545140     1.308615
   465     767.1608118020     766.0875401000     1.073272     1.308149
   466     768.4684957782     767.2184721560     1.250024     1.307684
   467     769.7757163947     768.2814618070     1.494255     1.307221
   468     771.0824749302     769.6934072530     1.389068     1.306759
   469     772.3887726573     771.0708393140     1.317933     1.306298
   470     773.6946108422     772.9616175660     0.732993     1.305838
   471     774.9999907449     774.1177446280     0.882246     1.305380
   472     776.3049136192     775.0478470970     1.257067     1.304923
   473     777.6093807129     775.9997119630     1.609669     1.304467
   474     778.9133932676     777.2997485300     1.613645     1.304013
   475     780.2169525188     779.1570769490     1.059876     1.303559
   476     781.5200596960     780.3489250040     1.171135     1.303107
   477     782.8227160228     782.1376643910     0.685052     1.302656
   478     784.1249227168     782.5979439460     1.526979     1.302207
   479     785.4266809899     784.2888226120     1.137858     1.301758
   480     786.7279920479     785.7390897010     0.988902     1.301311
   481     788.0288570909     786.4611474510     1.567710     1.300865
   482     789.3292773133     787.4684638160     1.860813     1.300420
   483     790.6292539037     790.0590923640     0.570162     1.299977
   484     791.9287880450     790.8316204680     1.097168     1.299534
   485     793.2278809145     792.4277076090     0.800173     1.299093
   486     794.5265336839     792.8886525630     1.637881     1.298653
   487     795.8247475193     794.4837918700     1.340956     1.298214
   488     797.1225235812     795.6065961560     1.515927     1.297776
   489     798.4198630249     797.2634700380     1.156393     1.297339
   490     799.7167669999     798.7075701660     1.009197     1.296904
   491     801.0132366503     799.6543362110     1.358900     1.296470
   492     802.3092731151     801.6042464630     0.705027     1.296036
   493     803.6048775278     802.5419848780     1.062893     1.295604
   494     804.9000510164     803.2430962040     1.656955     1.295173
   495     806.1947947040     804.7622391130     1.432556     1.294744
   496     807.4891097081     805.8616356670     1.627474     1.294315
   497     808.7829971412     808.1518149360     0.631182     1.293887
   498     810.0764581106     809.1977833630     0.878675     1.293461
   499     811.3694937185     810.0818048860     1.287689     1.293036
   500     812.6621050620     811.1843588470     1.477746     1.292611
